334616	3472753	2229410	2230409
353763	3421729	677637	678306
355991	3475743	1494763	1496129
347561	3500028	69158	69173
350734	3452943	402196	402290
346781	3458609	502173	502144
359255	3459539	112333	112339
330436	3434765	1360826	1360679
360948	3455308	1855021	1857098
357261	3460120	118750	118733
340848	3402430	1019831	1019987
349504	3455305	417361	417288
345242	3443448	1811415	1811401
320755	3448033	1749462	1750102
352863	3458227	183632	183705
353778	3456306	54069	54001
106068	3584092	387760	306688
96202	3549044	436513	439597
113401	3558698	706483	718484
106213	3543123	1203023	1192970
86654	3555621	242144	241321
122803	3508852	589575	591843
102658	3553812	374733	375837
102321	3552763	276666	277294
100630	3547514	758763	763634
108566	3473562	58825	49687
100078	3555872	453497	459818
372514	3520175	79390	79534
328761	3578882	215487	215688
271440	3584351	461803	462649
297226	3543781	409001	409062
261710	3602630	484910	485148
327563	3527813	219888	220134
293593	3546350	288713	289142
317855	3549378	1171780	1172481
59774	3768444	429722	435553
67847	3766258	315085	320275
213087	3520231	612034	612334
212979	3525899	642684	644623
209764	3511626	1772075	1779421
165245	3481388	329252	325123
177148	3515049	445615	449432
206260	3522942	479234	479813
-87502	3857984	197191	199140
-30122	3805384	461208	465013
72180	3813071	334576	337575
-55931	3859107	279361	282986
-35510	3804693	372499	375645
31657	3764199	330156	321663
-9191	3824512	989152	1016999
40524	3811176	276346	272496
-38169	3797758	1516633	1515384
140086	3577248	458282	429740
205169	3645990	666132	667069
160356	3684027	579298	580695
163821	3590020	402225	403821
177009	3594060	738853	740559
221526	3563519	476002	477142
160569	3588218	531202	535462
242289	3541994	453375	453795
167827	3632854	594150	596558
197292	3471959	534543	541233
243474	3508473	1328356	1330893
243005	3496801	194262	194723
242853	3535087	1334194	1337096
240358	3485195	1818678	1820709
248850	3498199	2336798	2338702
229718	3600730	345516	346135
210086	3599305	394669	395235
205981	3580309	578494	578976
112467	3782592	416585	429707
55514	3714475	221745	237908
101269	3739940	259927	263712
115164	3691727	141326	146149
153173	3744331	492120	494524
140956	3713875	737193	740731
131621	3728567	658631	665507
129015	3725079	651359	654574
130543	3719804	267963	272630
83182	3661678	189035	68902
127744	3661359	67462	67391
248828	3640095	523465	523940
238860	3698269	628634	629420
184220	3789746	393516	395219
266617	3676471	818167	818951
245645	3740730	327680	328526
201983	3707521	174991	175524
205855	3765812	535029	535806
234645	3692557	316216	316564
203362	3740239	275734	276543
274128	3461553	1747803	1749489
275093	3447612	1237283	1239571
321939	3482050	906209	907041
272912	3469584	636822	637162
286480	3504544	1205139	1206853
261163	3532330	603801	604764
307583	3474331	1714101	1715533
275400	3473153	1582799	1584216
268005	3465083	1098618	1099352
109668	3830633	530108	515001
150416	3836155	923278	930706
153285	3800250	585705	590222
159512	3778104	554585	556289
149532	3862231	352917	348004
164341	3852671	375593	386075
163041	3560861	1234840	1239344
178963	3546851	659286	664403
166720	3568114	180879	181412
137276	3540982	812804	820122
197761	3571212	140919	141167
161204	3567960	456905	457931
162891	3115171	39914	40136
110847	3061574	8660	9630
168581	3099197	7413	7522
154953	3152372	71332	71700
215279	3174038	150750	150743
197196	3150864	147089	147602
135262	3168834	78569	78696
233378	3115945	127915	128212
120230	3111846	22214	22410
343464	3220963	372954	372955
318642	3194040	665115	665423
278646	3193729	172438	172705
305697	3225902	220129	220351
347407	3173165	270131	270429
341378	3139871	313986	314665
325944	3113889	28424	28570
339690	3163179	233673	234190
329719	3170811	503855	504034
287367	3404022	1473780	1474777
301228	3412978	583252	583754
309443	3395773	570484	571043
266231	3391432	1069755	1070884
277039	3377943	1454155	1455029
302561	3379203	1008749	1009042
280321	3406085	1842508	1842814
321641	3324679	635494	636093
388057	3308447	593306	594355
345388	3281907	789165	789473
347016	3241191	236081	236296
332673	3339131	466998	467455
363951	3305253	243724	243732
360092	3307406	540485	540820
359652	3304419	240207	240250
389993	3261638	32224	32810
359159	3299630	1741050	1741364
375736	3314104	620594	621220
228641	3350613	43644	43620
228383	3353642	230515	230505
184302	3349528	133007	127490
234952	3367716	2207023	2212999
206447	3328374	372904	373764
138845	3266664	282632	283448
224675	3357868	697445	697743
179688	3300794	279219	280387
231510	3351457	1753010	1753993
116109	3282269	19526	19685
224732	3340495	94225	94286
258471	3353120	1807869	1812187
223428	3351273	924256	925131
299926	3112108	294864	296292
259498	3062500	275969	277250
212951	3077346	14185	14252
271995	3116433	265422	266137
175406	3052785	3899	3728
318108	3080763	5150	5205
268559	3075264	369151	370440
274120	3090182	494686	496448
245306	3046825	133631	121832
269059	3101511	569783	570071
284239	3092051	308959	310142
252692	3416036	777807	779403
230452	3417415	698832	702566
181351	3394544	186847	193726
209571	3383077	618053	619324
204682	3436928	587358	571407
294041	3324667	896944	897537
289474	3272448	502274	503038
296419	3265504	457885	458164
258152	3330791	1385617	1385872
233219	3289965	547454	549027
266401	3320243	747650	748360
413447	3321574	53599	53757
425172	3348578	5530	5492
447063	3399570	214838	215329
434365	3316110	28419	28493
61673	3205723	316908	314896
53312	3232216	69875	69908
97106	3211887	623059	624523
72314	3187105	88942	84273
105739	3212833	702972	704773
126649	3217498	572666	574251
231605	3243540	453900	454800
215438	3245820	618990	620999
155348	3236630	646678	647370
165799	3222742	790056	791154
189060	3200622	198511	198648
211610	3199552	228240	228778
198124	3262458	390734	391011
251310	3216967	129489	129575
177642	3223820	583239	584556
