ogrid	relation	dgrid	m
10	0	91	46
10	0	92	76
10	0	94	30
10	0	96	223
10	0	97	15
10	0	129	477
10	0	130	248639
10	0	131	117057
10	0	132	90
10	0	133	200
10	0	134	268
10	0	135	169
10	0	140	87
10	0	150	27
10	0	155	27
10	0	158	43
10	0	171	10
10	0	172	11
10	0	175	13
10	0	176	26
10	0	180	20
10	0	184	67
10	0	191	10
11	0	0	166771
11	0	1	104
11	0	2	548
11	0	4	5968
11	0	5	9058
11	0	7	115
11	0	8	345
11	0	10	16
11	0	12	228953
11	0	13	224
11	0	14	4988
11	0	15	15
11	0	29	31
11	0	90	28
11	0	92	30
11	0	96	94
12	0	0	97707
12	0	1	141450
12	0	2	885
12	0	3	27
12	0	4	222558
12	0	5	560
12	0	6	36
12	0	7	268769
12	0	8	626652
12	0	9	64
12	0	10	646
12	0	11	235388
12	0	13	212881
12	0	14	176
12	0	15	86
12	0	19	13
12	0	29	14
12	0	34	27
12	0	38	20
12	0	39	21
12	0	57	10
12	0	62	10
12	0	64	19
12	0	65	27
12	0	66	19
12	0	67	113
12	0	90	288
12	0	91	69
12	0	92	130
12	0	94	41
12	0	95	14
12	0	96	1037
12	0	97	29
12	0	129	175
12	0	130	303
12	0	131	100
12	0	132	70
12	0	133	102
12	0	134	102
12	0	135	96
12	0	140	168
12	0	142	53
12	0	145	201
12	0	150	60
12	0	155	119
12	0	158	27
12	0	172	16
12	0	180	11
12	0	184	12
13	0	0	360575
13	0	1	534
13	0	2	1234
13	0	3	14
13	0	4	70
13	0	5	157
13	0	6	17
13	0	7	709585
13	0	8	1377
13	0	10	72187
13	0	11	166
13	0	12	211648
13	0	14	66
13	0	15	14
13	0	19	25
13	0	28	12
13	0	29	12
13	0	34	48
13	0	38	13
13	0	39	28
13	0	62	24
13	0	64	22
13	0	65	70
13	0	66	31
13	0	90	525
13	0	91	75190
13	0	92	422
13	0	93	66
13	0	94	129
13	0	95	18
13	0	96	304767
13	0	97	99
13	0	98	41
13	0	129	232
13	0	130	10010
13	0	131	83
13	0	132	50
13	0	133	37
13	0	134	36
13	0	135	123
13	0	140	29
13	0	150	12
13	0	155	23
13	0	158	41
13	0	171	61
13	0	172	35
13	0	173	13
13	0	174	13
13	0	175	23
13	0	176	10
13	0	180	16
13	0	184	58
13	0	200	11
14	0	0	251
14	0	1	41
14	0	2	61784
14	0	4	1327
14	0	5	41348
14	0	6	119
14	0	7	68
14	0	8	1065
14	0	9	52893
14	0	10	38
14	0	11	4473
14	0	12	175
14	0	13	73
14	0	15	20032
14	0	96	18
15	0	0	12
15	0	1	30
15	0	2	56
15	0	4	15724
15	0	5	20
15	0	6	20
15	0	7	10
15	0	8	17673
15	0	9	3765
15	0	11	17
15	0	12	98
15	0	13	13
15	0	14	16563
16	0	17	34
16	0	18	105772
16	0	19	926
16	0	20	117191
16	0	21	45
16	0	22	60
16	0	23	49
16	0	24	560
16	0	26	78
16	0	34	11
16	0	35	52
16	0	36	28
16	0	38	26
16	0	39	32
16	0	40	31
16	0	45	12
16	0	48	25
16	0	49	22
16	0	50	19
16	0	51	11
16	0	52	79405
16	0	55	103
16	0	56	71
16	0	58	245
16	0	60	16
16	0	61	31
16	0	62	19
16	0	64	18
16	0	65	13
16	0	66	10
16	0	67	10
16	0	68	15
16	0	69	15
16	0	70	14
16	0	71	132
16	0	73	88
16	0	75	13
16	0	76	27
16	0	77	12
16	0	78	30
16	0	79	762
16	0	80	17
16	0	100	10
16	0	101	12
16	0	102	10
16	0	103	13
16	0	105	96
16	0	106	73
16	0	108	368
16	0	110	42
16	0	175	14
17	0	16	24
17	0	18	126
17	0	19	2240
17	0	20	104641
17	0	21	31
17	0	22	48
17	0	23	15355
17	0	24	300057
17	0	26	16977
17	0	60	61
17	0	108	37
18	0	8	13
18	0	16	153311
18	0	17	128
18	0	19	143220
18	0	20	597
18	0	21	83
18	0	22	266757
18	0	23	1400
18	0	24	492
18	0	26	17952
18	0	38	19
18	0	39	25
18	0	40	32
18	0	52	358
18	0	56	13
18	0	58	35
18	0	61	15
18	0	62	14
18	0	64	25
18	0	65	12
18	0	71	10
18	0	76	10
18	0	77	23
18	0	79	43
18	0	82	10
18	0	105	266
18	0	106	133
18	0	108	133428
18	0	110	60
19	0	0	15
19	0	7	51
19	0	8	17
19	0	13	11
19	0	16	1196
19	0	17	2696
19	0	18	172260
19	0	20	4504
19	0	21	326262
19	0	22	13568
19	0	23	87786
19	0	24	349199
19	0	25	242
19	0	26	243
19	0	36	38
19	0	38	82
19	0	39	203
19	0	40	344
19	0	41	263
19	0	45	122
19	0	48	12
19	0	50	10
19	0	52	73
19	0	55	104
19	0	56	17
19	0	58	44
19	0	61	143
19	0	62	222
19	0	64	54
19	0	65	39
19	0	66	34
19	0	69	12
19	0	70	11
19	0	71	22
19	0	73	25
19	0	75	23
19	0	76	17
19	0	77	14
19	0	79	59
19	0	81	11
19	0	83	79
19	0	90	29
19	0	91	17
19	0	92	11
19	0	94	23
19	0	95	13
19	0	96	34
19	0	97	19
19	0	98	10
19	0	105	258
19	0	106	416
19	0	107	173
19	0	108	231633
19	0	110	41
19	0	151	32
19	0	172	19
19	0	175	115
20	0	0	56
20	0	2	11
20	0	7	11
20	0	8	1042
20	0	16	127973
20	0	17	95398
20	0	18	566
20	0	19	4517
20	0	21	134
20	0	22	35
20	0	23	26
20	0	24	10693
20	0	26	226
20	0	38	10
20	0	39	19
20	0	40	43
20	0	49	12
20	0	52	99
20	0	53	11
20	0	56	18
20	0	58	28
20	0	61	62
20	0	64	14
20	0	70	14
