1.000	0.434	0.107	0.068
0.002	0.612	0.059	0.078
0.215	0.584	0.035	0.038
0.006	0.669	0.033	0.026
0.188	0.580	0.005	0.031
0.826	0.577	0.002	0.019
0.294	0.538	0.004	0.014
0.635	0.736	0.040	0.049
0.279	0.889	0.000	0.002
0.487	0.972	0.009	0.013
0.254	0.244	0.005	0.000
0.125	0.570	0.000	0.023
0.286	0.976	0.577	0.600
0.537	0.997	0.104	0.053
0.003	0.409	0.135	0.095
0.429	0.051	0.094	0.076
0.169	0.106	0.004	0.002
0.706	0.979	0.020	0.013
0.139	0.925	0.044	0.028
0.081	0.274	0.100	0.212
0.218	0.048	0.139	0.051
0.070	0.904	0.046	0.035
0.342	0.060	0.041	0.024
0.961	0.717	0.084	0.077
0.997	0.492	0.040	0.040
0.001	0.579	0.070	0.050
0.296	0.064	0.155	0.195
0.418	0.999	0.054	0.044
0.033	0.848	0.007	0.002
0.292	0.909	0.013	0.009
1.000	0.375	0.045	0.027
0.456	0.998	0.160	0.106
0.744	0.967	0.049	0.047
0.994	0.518	0.078	0.068
0.199	0.960	0.278	0.278
0.012	0.716	0.023	0.014
0.483	0.008	0.064	0.036
0.863	0.899	1.000	1.000
0.987	0.575	0.066	0.098
0.990	0.549	0.135	0.160
0.376	1.000	0.547	0.471
0.777	0.966	0.042	0.028
0.560	0.000	0.002	0.000
0.904	0.836	0.795	0.681
0.983	0.663	0.062	0.018
0.364	0.057	0.162	0.266
0.999	0.472	0.050	0.033
0.935	0.778	0.061	0.032
0.985	0.615	0.197	0.153
0.822	0.952	0.318	0.211
0.736	0.112	0.012	0.002
0.601	0.995	0.226	0.273
0.814	0.193	0.076	0.116
0.650	0.993	0.346	0.197
0.957	0.291	0.008	0.002
0.004	0.639	0.056	0.059
0.381	0.055	0.037	0.037
0.764	0.142	0.006	0.000
0.996	0.330	0.004	0.000
0.000	0.534	0.045	0.049
0.880	0.224	0.051	0.078
0.915	0.251	0.051	0.039
0.323	0.945	0.025	0.024
0.058	0.336	0.000	0.002
0.855	0.586	0.160	0.220
0.467	0.526	0.015	0.006
0.138	0.838	0.002	0.000
0.468	0.413	0.007	0.004
0.576	0.530	0.012	0.010
0.388	0.750	0.044	0.049
0.282	0.559	0.019	0.025
0.780	0.871	0.018	0.020
0.564	0.790	0.050	0.077
0.783	0.896	0.075	0.092
0.412	0.652	0.010	0.006
0.855	0.604	0.002	0.000
0.381	0.617	0.011	0.007
0.424	0.683	0.004	0.002
0.603	0.558	0.025	0.018
0.349	0.677	0.000	0.004
0.700	0.656	0.034	0.041
0.690	0.643	0.069	0.075
0.382	0.599	0.005	0.003
0.531	0.181	0.000	0.004
0.380	0.637	0.006	0.002
0.427	0.118	0.000	0.004
0.266	0.895	0.002	0.005
0.973	0.409	0.006	0.019
0.707	0.899	0.062	0.095
0.060	0.462	0.002	0.004
0.120	0.590	0.010	0.000
0.441	0.973	0.002	0.007
0.781	0.691	0.215	0.237
0.720	0.944	0.002	0.000
0.723	0.920	0.007	0.005
0.712	0.376	0.042	0.038
0.189	0.671	0.007	0.019
0.087	0.730	0.002	0.002
0.775	0.292	0.002	0.002
0.191	0.639	0.009	0.022
0.221	0.654	0.035	0.034
0.232	0.942	0.003	0.002
0.195	0.923	0.010	0.010
0.778	0.536	0.024	0.014
0.596	0.286	0.000	0.002
0.442	0.861	0.017	0.027
0.309	0.777	0.029	0.040
0.124	0.432	0.004	0.003
0.031	0.600	0.002	0.000
0.876	0.461	0.002	0.000
0.145	0.570	0.006	0.000
0.313	0.747	0.052	0.072
0.337	0.717	0.004	0.014
0.759	0.868	0.052	0.065
0.763	0.897	0.134	0.143
0.731	0.880	0.079	0.087
0.748	0.912	0.062	0.045
0.956	0.562	0.007	0.011
0.330	0.264	0.000	0.002
0.915	0.364	0.002	0.002
0.682	0.419	0.002	0.000
0.201	0.491	0.003	0.003
0.750	0.375	0.010	0.002
0.451	0.507	0.043	0.049
0.458	0.889	0.078	0.089
0.124	0.503	0.006	0.004
0.344	0.128	0.002	0.000
0.353	0.821	0.016	0.037
0.340	0.839	0.052	0.063
0.329	0.821	0.033	0.045
0.453	0.398	0.006	0.012
0.636	0.701	0.005	0.015
0.327	0.570	0.004	0.002
0.639	0.576	0.014	0.033
0.312	0.896	0.010	0.015
0.368	0.768	0.016	0.023
0.423	0.900	0.019	0.026
0.249	0.539	0.006	0.016
0.293	0.726	0.038	0.052
0.090	0.409	0.004	0.000
0.590	0.306	0.002	0.000
0.131	0.711	0.004	0.004
0.260	0.369	0.000	0.002
0.158	0.624	0.051	0.039
0.142	0.599	0.011	0.008
0.406	0.984	0.004	0.000
0.111	0.811	0.002	0.000
0.851	0.277	0.002	0.003
0.698	0.522	0.018	0.008
0.727	0.542	0.014	0.008
0.742	0.522	0.123	0.222
0.211	0.254	0.013	0.005
0.419	0.298	0.002	0.000
0.765	0.501	0.209	0.219
0.827	0.677	0.002	0.000
0.425	0.841	0.082	0.121
0.779	0.916	0.043	0.056
0.762	0.941	0.124	0.163
0.465	0.862	0.008	0.008
0.097	0.482	0.003	0.000
0.846	0.659	0.025	0.024
0.897	0.392	0.006	0.003
0.259	0.402	0.000	0.002
0.247	0.416	0.010	0.002
0.522	0.432	0.002	0.006
0.553	0.511	0.003	0.008
0.530	0.528	0.006	0.000
0.370	0.228	0.007	0.002
0.325	0.452	0.022	0.020
0.845	0.500	0.020	0.019
0.323	0.803	0.044	0.052
0.855	0.613	0.037	0.041
0.855	0.634	0.132	0.100
0.769	0.839	0.104	0.134
0.781	0.816	0.011	0.014
0.452	0.427	0.009	0.014
0.927	0.684	0.021	0.027
0.454	0.373	0.002	0.000
0.398	0.317	0.000	0.002
0.431	0.569	0.003	0.008
0.623	0.718	0.004	0.010
0.910	0.602	0.012	0.009
0.953	0.590	0.082	0.098
