0.000	0.276
0.000	0.310
0.000	0.345
0.000	0.379
0.000	0.414
0.034	0.345
0.034	0.448
0.103	0.345
0.103	0.414
0.103	0.552
0.138	0.448
0.172	0.552
0.207	0.448
0.207	0.552
0.241	0.207
0.241	0.241
0.241	0.379
0.241	0.552
0.276	0.207
0.276	0.241
0.276	0.448
0.276	0.483
0.276	0.552
0.310	0.207
0.310	0.241
0.310	0.276
0.310	0.310
0.310	0.414
0.310	0.448
0.310	0.483
0.310	0.517
0.310	0.552
0.310	0.586
0.310	0.621
0.310	0.655
0.310	0.690
0.310	0.759
0.345	0.207
0.345	0.241
0.345	0.345
0.345	0.379
0.345	0.448
0.345	0.483
0.345	0.517
0.345	0.552
0.345	0.586
0.345	0.621
0.345	0.655
0.345	0.690
0.345	0.724
0.345	0.793
0.379	0.138
0.379	0.207
0.379	0.241
0.379	0.276
0.379	0.345
0.379	0.448
0.379	0.483
0.379	0.517
0.379	0.552
0.379	0.586
0.379	0.621
0.379	0.655
0.379	0.690
0.379	0.724
0.379	0.759
0.379	0.862
0.379	0.897
0.414	0.103
0.414	0.172
0.414	0.207
0.414	0.241
0.414	0.276
0.414	0.310
0.414	0.379
0.414	0.414
0.414	0.448
0.414	0.483
0.414	0.517
0.414	0.552
0.414	0.586
0.414	0.621
0.414	0.655
0.414	0.690
0.414	0.724
0.414	0.759
0.414	0.793
0.414	0.862
0.414	0.897
0.448	0.103
0.448	0.172
0.448	0.207
0.448	0.241
0.448	0.276
0.448	0.310
0.448	0.345
0.448	0.379
0.448	0.414
0.448	0.448
0.448	0.483
0.448	0.517
0.448	0.552
0.448	0.621
0.448	0.655
0.448	0.690
0.448	0.724
0.448	0.759
0.448	0.793
0.448	0.828
0.483	0.069
0.483	0.103
0.483	0.138
0.483	0.172
0.483	0.207
0.483	0.241
0.483	0.276
0.483	0.310
0.483	0.345
0.483	0.379
0.483	0.414
0.483	0.448
0.483	0.483
0.483	0.517
0.483	0.552
0.483	0.586
0.483	0.621
0.483	0.655
0.483	0.690
0.483	0.724
0.483	0.759
0.483	0.793
0.483	0.828
0.483	0.897
0.517	0.000
0.517	0.034
0.517	0.069
0.517	0.103
0.517	0.138
0.517	0.172
0.517	0.207
0.517	0.241
0.517	0.276
0.517	0.310
0.517	0.345
0.517	0.379
0.517	0.414
0.517	0.448
0.517	0.483
0.517	0.517
0.517	0.552
0.517	0.586
0.517	0.621
0.517	0.655
0.517	0.690
0.517	0.724
0.517	0.759
0.517	0.793
0.517	0.828
0.517	0.862
0.517	0.897
0.552	0.000
0.552	0.034
0.552	0.069
0.552	0.103
0.552	0.138
0.552	0.172
0.552	0.207
0.552	0.241
0.552	0.276
0.552	0.310
0.552	0.345
0.552	0.379
0.552	0.414
0.552	0.448
0.552	0.483
0.552	0.517
0.552	0.552
0.552	0.586
0.552	0.621
0.552	0.655
0.552	0.690
0.552	0.724
0.552	0.759
0.552	0.793
0.552	0.828
0.552	0.862
0.552	0.897
0.552	0.931
0.552	1.000
0.586	0.000
0.586	0.103
0.586	0.138
0.586	0.172
0.586	0.207
0.586	0.241
0.586	0.276
0.586	0.310
0.586	0.345
0.586	0.379
0.586	0.414
0.586	0.448
0.586	0.483
0.586	0.586
0.586	0.621
0.586	0.655
0.586	0.690
0.586	0.724
0.586	0.759
0.586	0.793
0.586	0.828
0.586	0.862
0.586	0.897
0.586	0.931
0.586	0.966
0.586	1.000
0.621	0.000
0.621	0.103
0.621	0.138
0.621	0.172
0.621	0.207
0.621	0.241
0.621	0.276
0.621	0.310
0.621	0.345
0.621	0.379
0.621	0.414
0.621	0.448
0.621	0.483
0.621	0.517
0.621	0.552
0.621	0.586
0.621	0.621
0.621	0.655
0.621	0.690
0.621	0.724
0.621	0.759
0.621	0.793
0.621	0.828
0.621	0.862
0.621	0.897
0.621	0.931
0.621	1.000
0.655	0.069
0.655	0.103
0.655	0.138
0.655	0.172
0.655	0.207
0.655	0.241
0.655	0.276
0.655	0.310
0.655	0.345
0.655	0.379
0.655	0.414
0.655	0.448
0.655	0.483
0.655	0.517
0.655	0.552
0.655	0.586
0.655	0.621
0.655	0.655
0.655	0.690
0.655	0.724
0.655	0.759
0.655	0.793
0.655	0.828
0.655	0.862
0.655	0.897
0.690	0.172
0.690	0.207
0.690	0.241
0.690	0.276
0.690	0.310
0.690	0.345
0.690	0.379
0.690	0.414
0.690	0.448
0.690	0.483
0.690	0.517
0.690	0.552
0.690	0.586
0.690	0.621
0.690	0.655
0.690	0.690
0.690	0.724
0.690	0.759
0.690	0.828
0.690	0.897
0.690	0.931
0.724	0.172
0.724	0.207
0.724	0.241
0.724	0.276
0.724	0.310
0.724	0.345
0.724	0.379
0.724	0.414
0.724	0.448
0.724	0.483
0.724	0.517
0.724	0.552
0.724	0.586
0.724	0.621
0.724	0.655
0.724	0.690
0.724	0.724
0.724	0.759
0.724	0.793
0.724	0.897
0.724	1.000
0.759	0.172
0.759	0.207
0.759	0.241
0.759	0.276
0.759	0.310
0.759	0.345
0.759	0.379
0.759	0.414
0.759	0.448
0.759	0.483
0.759	0.517
0.759	0.552
0.759	0.586
0.759	0.621
0.759	0.655
0.759	0.690
0.759	0.724
0.759	0.759
0.759	0.793
0.759	0.828
0.759	0.862
0.759	1.000
0.793	0.207
0.793	0.241
0.793	0.276
0.793	0.310
0.793	0.345
0.793	0.379
0.793	0.414
0.793	0.448
0.793	0.483
0.793	0.517
0.793	0.552
0.793	0.586
0.793	0.621
0.793	0.655
0.793	0.690
0.793	0.724
0.793	0.759
0.793	0.793
0.793	0.828
0.793	0.862
0.828	0.138
0.828	0.241
0.828	0.276
0.828	0.310
0.828	0.345
0.828	0.379
0.828	0.414
0.828	0.448
0.828	0.483
0.828	0.517
0.828	0.552
0.828	0.586
0.828	0.621
0.828	0.655
0.828	0.690
0.828	0.724
0.828	0.759
0.828	0.793
0.828	0.828
0.828	0.862
0.828	0.897
0.862	0.276
0.862	0.310
0.862	0.345
0.862	0.379
0.862	0.414
0.862	0.448
0.862	0.483
0.862	0.517
0.862	0.552
0.862	0.586
0.862	0.621
0.862	0.655
0.862	0.724
0.862	0.759
0.862	0.793
0.862	0.828
0.862	0.862
0.897	0.241
0.897	0.276
0.897	0.310
0.897	0.345
0.897	0.379
0.897	0.414
0.897	0.448
0.897	0.483
0.897	0.517
0.897	0.552
0.897	0.586
0.897	0.621
0.897	0.655
0.897	0.690
0.897	0.724
0.897	0.759
0.897	0.793
0.897	0.862
0.931	0.310
0.931	0.345
0.931	0.379
0.931	0.414
0.931	0.448
0.931	0.483
0.931	0.517
0.931	0.552
0.931	0.586
0.931	0.621
0.931	0.655
0.931	0.724
0.931	0.759
0.931	0.793
0.931	0.828
0.931	0.862
0.931	0.931
0.966	0.172
0.966	0.310
0.966	0.345
0.966	0.379
0.966	0.414
0.966	0.448
0.966	0.483
0.966	0.655
0.966	0.724
0.966	0.759
0.966	0.793
1.000	0.207
1.000	0.310
1.000	0.414
1.000	0.483
1.000	0.586
1.000	0.621
