0.000	0.167	0.005
0.000	0.458	0.005
0.053	0.167	0.005
0.053	0.417	0.013
0.053	0.458	0.014
0.053	0.500	0.044
0.053	0.625	0.029
0.053	0.667	0.005
0.053	0.708	0.011
0.105	0.458	0.083
0.105	0.500	0.092
0.105	0.542	0.075
0.105	0.583	0.055
0.105	0.625	0.152
0.105	0.667	0.049
0.105	0.708	0.042
0.105	0.750	0.006
0.158	0.167	0.004
0.158	0.333	0.004
0.158	0.417	0.042
0.158	0.458	0.030
0.158	0.500	0.387
0.158	0.542	0.047
0.158	0.583	0.024
0.158	0.625	0.127
0.158	0.667	0.223
0.158	0.708	0.111
0.158	0.750	0.048
0.158	0.917	0.027
0.158	0.958	0.006
0.211	0.125	0.005
0.211	0.167	0.009
0.211	0.250	0.008
0.211	0.333	0.006
0.211	0.375	0.038
0.211	0.417	0.082
0.211	0.458	0.026
0.211	0.500	0.050
0.211	0.542	0.028
0.211	0.625	0.010
0.211	0.708	0.068
0.211	0.750	0.115
0.211	0.792	0.194
0.211	0.833	0.057
0.211	0.917	0.034
0.211	0.958	0.004
0.263	0.083	0.010
0.263	0.125	0.015
0.263	0.208	0.020
0.263	0.250	0.102
0.263	0.292	0.110
0.263	0.333	0.048
0.263	0.375	0.133
0.263	0.417	0.097
0.263	0.458	0.284
0.263	0.500	0.119
0.263	0.542	0.125
0.263	0.625	0.006
0.263	0.667	0.012
0.263	0.708	0.032
0.263	0.750	0.110
0.263	0.792	0.289
0.263	0.833	0.049
0.263	0.875	0.034
0.316	0.042	0.032
0.316	0.083	0.022
0.316	0.125	0.019
0.316	0.167	0.004
0.316	0.208	0.054
0.316	0.250	0.119
0.316	0.292	0.194
0.316	0.333	0.216
0.316	0.375	0.208
0.316	0.417	0.266
0.316	0.458	0.111
0.316	0.500	0.018
0.316	0.542	0.129
0.316	0.583	0.045
0.316	0.625	0.085
0.316	0.667	0.071
0.316	0.708	0.159
0.316	0.750	0.059
0.316	0.792	0.497
0.316	0.833	0.169
0.316	0.875	0.033
0.316	0.917	0.010
0.368	0.000	0.005
0.368	0.042	0.005
0.368	0.083	0.027
0.368	0.125	0.038
0.368	0.167	0.005
0.368	0.208	0.005
0.368	0.250	0.053
0.368	0.292	0.517
0.368	0.333	0.008
0.368	0.375	0.067
0.368	0.417	0.173
0.368	0.458	0.111
0.368	0.500	0.039
0.368	0.542	0.043
0.368	0.583	0.016
0.368	0.625	0.498
0.368	0.667	0.037
0.368	0.708	0.031
0.368	0.750	0.021
0.368	0.792	0.360
0.368	0.833	0.152
0.368	0.875	0.185
0.368	0.917	0.083
0.368	0.958	0.011
0.421	0.000	0.013
0.421	0.042	0.066
0.421	0.083	0.092
0.421	0.125	0.236
0.421	0.167	0.038
0.421	0.208	0.106
0.421	0.250	0.129
0.421	0.292	0.079
0.421	0.333	0.041
0.421	0.375	0.135
0.421	0.417	0.096
0.421	0.458	0.306
0.421	0.583	0.020
0.421	0.625	0.244
0.421	0.667	0.529
0.421	0.708	0.238
0.421	0.750	0.480
0.421	0.792	0.665
0.421	0.833	1.000
0.421	0.875	0.014
0.421	0.917	0.027
0.421	0.958	0.026
0.474	0.083	0.027
0.474	0.125	0.034
0.474	0.167	0.027
0.474	0.208	0.061
0.474	0.333	0.047
0.474	0.375	0.205
0.474	0.417	0.403
0.474	0.458	0.091
0.474	0.583	0.047
0.474	0.625	0.291
0.474	0.667	0.216
0.474	0.708	0.224
0.474	0.750	0.843
0.474	0.792	0.322
0.474	0.833	0.240
0.474	0.875	0.224
0.474	0.917	0.145
0.474	0.958	0.039
0.474	1.000	0.046
0.526	0.042	0.007
0.526	0.083	0.066
0.526	0.125	0.038
0.526	0.167	0.071
0.526	0.208	0.161
0.526	0.250	0.067
0.526	0.292	0.072
0.526	0.333	0.091
0.526	0.375	0.216
0.526	0.417	0.096
0.526	0.458	0.015
0.526	0.500	0.021
0.526	0.583	0.008
0.526	0.625	0.068
0.526	0.667	0.225
0.526	0.708	0.677
0.526	0.750	0.442
0.526	0.792	0.457
0.526	0.833	0.171
0.526	0.875	0.013
0.526	0.917	0.120
0.526	0.958	0.005
0.526	1.000	0.119
0.579	0.042	0.005
0.579	0.125	0.025
0.579	0.208	0.017
0.579	0.250	0.070
0.579	0.292	0.128
0.579	0.333	0.155
0.579	0.375	0.185
0.579	0.417	0.236
0.579	0.458	0.030
0.579	0.500	0.010
0.579	0.542	0.023
0.579	0.583	0.028
0.579	0.625	0.018
0.579	0.667	0.370
0.579	0.708	0.492
0.579	0.750	0.959
0.579	0.792	0.286
0.579	0.833	0.246
0.579	0.875	0.024
0.579	0.917	0.110
0.579	0.958	0.069
0.579	1.000	0.005
0.632	0.125	0.029
0.632	0.167	0.014
0.632	0.208	0.101
0.632	0.250	0.077
0.632	0.292	0.071
0.632	0.375	0.258
0.632	0.417	0.210
0.632	0.458	0.107
0.632	0.542	0.009
0.632	0.583	0.055
0.632	0.625	0.134
0.632	0.667	0.399
0.632	0.708	0.412
0.632	0.750	0.280
0.632	0.792	0.313
0.632	0.833	0.061
0.632	0.958	0.005
0.632	1.000	0.016
0.684	0.125	0.064
0.684	0.167	0.004
0.684	0.208	0.004
0.684	0.250	0.142
0.684	0.292	0.111
0.684	0.333	0.088
0.684	0.375	0.066
0.684	0.417	0.295
0.684	0.458	0.204
0.684	0.500	0.114
0.684	0.542	0.130
0.684	0.583	0.126
0.684	0.625	0.073
0.684	0.667	0.274
0.684	0.708	0.286
0.684	0.750	0.287
0.684	0.792	0.865
0.684	0.833	0.118
0.737	0.125	0.046
0.737	0.167	0.156
0.737	0.208	0.112
0.737	0.250	0.106
0.737	0.292	0.121
0.737	0.333	0.131
0.737	0.375	0.160
0.737	0.417	0.141
0.737	0.458	0.107
0.737	0.500	0.196
0.737	0.542	0.069
0.737	0.583	0.173
0.737	0.625	0.183
0.737	0.667	0.161
0.737	0.708	0.368
0.737	0.750	0.554
0.737	0.792	0.231
0.737	0.875	0.044
0.737	0.917	0.080
0.789	0.208	0.090
0.789	0.250	0.144
0.789	0.292	0.432
0.789	0.333	0.192
0.789	0.375	0.129
0.789	0.417	0.040
0.789	0.458	0.187
0.789	0.500	0.180
0.789	0.542	0.055
0.789	0.583	0.461
0.789	0.625	0.077
0.789	0.667	0.216
0.789	0.708	0.110
0.789	0.750	0.353
0.789	0.792	0.004
0.789	0.833	0.050
0.789	0.875	0.215
0.789	0.917	0.026
0.842	0.208	0.026
